;City;Year;Thermal_stress;size
582;Екатеринбург;2003;moderate heat stress;17
583;Екатеринбург;2003;strong heat stress;0
584;Екатеринбург;2003;extreme heat stress;0
585;Екатеринбург;2004;extreme cold stress;2
586;Екатеринбург;2004;strong cold stress;11
587;Екатеринбург;2004;moderate cold stress;16
588;Екатеринбург;2004;slight cold stress;39
589;Екатеринбург;2004;no thermal stress;34
590;Екатеринбург;2004;slight heat stress;26
591;Екатеринбург;2004;moderate heat stress;20
592;Екатеринбург;2004;strong heat stress;5
593;Екатеринбург;2004;extreme heat stress;0
594;Екатеринбург;2005;extreme cold stress;3
595;Екатеринбург;2005;strong cold stress;4
596;Екатеринбург;2005;moderate cold stress;27
597;Екатеринбург;2005;slight cold stress;38
598;Екатеринбург;2005;no thermal stress;30
599;Екатеринбург;2005;slight heat stress;27
600;Екатеринбург;2005;moderate heat stress;23
601;Екатеринбург;2005;strong heat stress;1
602;Екатеринбург;2005;extreme heat stress;0
603;Екатеринбург;2006;extreme cold stress;9
604;Екатеринбург;2006;strong cold stress;8
605;Екатеринбург;2006;moderate cold stress;22
606;Екатеринбург;2006;slight cold stress;37
607;Екатеринбург;2006;no thermal stress;32
608;Екатеринбург;2006;slight heat stress;27
609;Екатеринбург;2006;moderate heat stress;17
610;Екатеринбург;2006;strong heat stress;1
611;Екатеринбург;2006;extreme heat stress;0
612;Екатеринбург;2007;extreme cold stress;4
613;Екатеринбург;2007;strong cold stress;14
614;Екатеринбург;2007;moderate cold stress;29
615;Екатеринбург;2007;slight cold stress;32
616;Екатеринбург;2007;no thermal stress;31
617;Екатеринбург;2007;slight heat stress;27
618;Екатеринбург;2007;moderate heat stress;15
619;Екатеринбург;2007;strong heat stress;1
620;Екатеринбург;2007;extreme heat stress;0
621;Екатеринбург;2008;extreme cold stress;10
622;Екатеринбург;2008;strong cold stress;17
623;Екатеринбург;2008;moderate cold stress;23
624;Екатеринбург;2008;slight cold stress;25
625;Екатеринбург;2008;no thermal stress;22
626;Екатеринбург;2008;slight heat stress;38
627;Екатеринбург;2008;moderate heat stress;18
628;Екатеринбург;2008;strong heat stress;0
629;Екатеринбург;2008;extreme heat stress;0
630;Екатеринбург;2009;extreme cold stress;6
631;Екатеринбург;2009;strong cold stress;12
632;Екатеринбург;2009;moderate cold stress;18
633;Екатеринбург;2009;slight cold stress;29
634;Екатеринбург;2009;no thermal stress;45
635;Екатеринбург;2009;slight heat stress;33
636;Екатеринбург;2009;moderate heat stress;9
637;Екатеринбург;2009;strong heat stress;1
638;Екатеринбург;2009;extreme heat stress;0
639;Екатеринбург;2010;extreme cold stress;3
640;Екатеринбург;2010;strong cold stress;9
641;Екатеринбург;2010;moderate cold stress;16
642;Екатеринбург;2010;slight cold stress;31
643;Екатеринбург;2010;no thermal stress;32
644;Екатеринбург;2010;slight heat stress;31
645;Екатеринбург;2010;moderate heat stress;22
646;Екатеринбург;2010;strong heat stress;9
647;Екатеринбург;2010;extreme heat stress;0
648;Екатеринбург;2011;extreme cold stress;2
649;Екатеринбург;2011;strong cold stress;13
650;Екатеринбург;2011;moderate cold stress;22
651;Екатеринбург;2011;slight cold stress;31
